,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,VOTE%,inducted
aaronha01,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,73.0,1383.0,328.0,1727.0,142.0,6856.0,1477.0,0.305,0.386,0.555,0.941,0.9783132530120482,1.0
aaronto01,437.0,944.0,102.0,216.0,42.0,6.0,13.0,94.0,9.0,8.0,145.0,36.0,89.0,15.0,309.0,61.0,0.22899999999999998,0.29100000000000004,0.327,0.618,,
abadan01,15.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,2.0,0.0,0.095,0.24,0.095,0.335,,
abadijo01,12.0,49.0,4.0,11.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.44799999999999995,,
abbated01,855.0,3044.0,355.0,772.0,99.0,43.0,11.0,324.0,142.0,0.0,16.0,0.0,322.0,93.0,990.0,153.0,0.254,0.316,0.325,0.6409999999999999,0.0,0.0
abbeych01,451.0,1751.0,307.0,492.0,67.0,46.0,19.0,280.0,93.0,0.0,105.0,0.0,190.0,18.0,708.0,132.0,0.281,0.348,0.40399999999999997,0.752,,
abbotfr01,160.0,513.0,48.0,107.0,21.0,6.0,1.0,49.0,14.0,0.0,0.0,0.0,27.0,20.0,143.0,28.0,0.209,0.239,0.27899999999999997,0.518,,
abbotje01,233.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,6.0,5.0,91.0,12.0,43.0,12.0,248.0,53.0,0.263,0.307,0.41600000000000004,0.723,,
abbotku01,702.0,2044.0,273.0,523.0,109.0,23.0,62.0,242.0,22.0,11.0,571.0,37.0,161.0,33.0,864.0,194.0,0.256,0.306,0.423,0.7290000000000001,0.0,0.0
abbotod01,22.0,70.0,2.0,13.0,2.0,1.0,0.0,6.0,3.0,0.0,20.0,0.0,6.0,6.0,17.0,3.0,0.18600000000000003,0.23199999999999998,0.243,0.475,,
abercda01,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
abercre01,180.0,386.0,65.0,86.0,20.0,2.0,9.0,34.0,18.0,8.0,123.0,3.0,30.0,7.0,137.0,31.0,0.223,0.27399999999999997,0.355,0.629,,
abernbr01,232.0,868.0,97.0,212.0,36.0,5.0,8.0,79.0,21.0,7.0,93.0,15.0,68.0,20.0,282.0,49.0,0.244,0.293,0.325,0.618,,
aberscl01,63.0,179.0,25.0,45.0,7.0,3.0,5.0,26.0,0.0,0.0,44.0,6.0,25.0,0.0,73.0,15.0,0.251,0.34299999999999997,0.408,0.7509999999999999,,
abnersh01,392.0,840.0,89.0,191.0,39.0,4.0,11.0,71.0,6.0,8.0,153.0,14.0,60.0,12.0,271.0,54.0,0.22699999999999998,0.275,0.32299999999999995,0.598,,
abramca01,567.0,1611.0,257.0,433.0,64.0,19.0,32.0,138.0,12.0,18.0,290.0,22.0,313.0,20.0,631.0,115.0,0.26899999999999996,0.384,0.392,0.7759999999999999,0.0,0.0
abreubo01,2425.0,8480.0,1453.0,2470.0,574.0,59.0,288.0,1363.0,400.0,128.0,1840.0,165.0,1624.0,92.0,4026.0,921.0,0.29100000000000004,0.402,0.475,0.877,,
abreujo01,9.0,28.0,4.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,4.0,0.0,10.0,2.0,0.214,0.312,0.35700000000000004,0.669,,
abreujo02,299.0,1169.0,168.0,354.0,69.0,5.0,66.0,208.0,3.0,1.0,271.0,30.0,142.0,5.0,631.0,140.0,0.303,0.377,0.54,0.917,,
abreuto01,224.0,579.0,61.0,147.0,39.0,6.0,6.0,60.0,2.0,4.0,116.0,20.0,29.0,9.0,216.0,51.0,0.254,0.285,0.373,0.6579999999999999,,
abstebi01,170.0,619.0,54.0,150.0,22.0,10.0,1.0,76.0,21.0,0.0,0.0,0.0,33.0,29.0,195.0,33.0,0.242,0.26899999999999996,0.315,0.584,,
ackledu01,607.0,2064.0,255.0,503.0,94.0,18.0,46.0,212.0,31.0,12.0,410.0,25.0,201.0,22.0,771.0,158.0,0.244,0.308,0.374,0.682,,
acostme01,180.0,436.0,56.0,111.0,9.0,7.0,0.0,37.0,17.0,8.0,46.0,0.0,67.0,19.0,134.0,16.0,0.255,0.341,0.307,0.648,,
adairje01,1165.0,4019.0,378.0,1022.0,163.0,19.0,57.0,366.0,29.0,29.0,499.0,149.0,256.0,71.0,1394.0,239.0,0.254,0.294,0.34700000000000003,0.6409999999999999,0.0,0.0
adairji01,18.0,76.0,9.0,21.0,3.0,1.0,0.0,3.0,1.0,0.0,8.0,0.0,1.0,2.0,26.0,4.0,0.276,0.278,0.342,0.62,,
adamecr01,33.0,68.0,5.0,14.0,1.0,1.0,0.0,3.0,0.0,1.0,16.0,1.0,5.0,1.0,17.0,2.0,0.20600000000000002,0.257,0.25,0.507,,
adamsbe01,267.0,678.0,37.0,137.0,17.0,4.0,2.0,45.0,9.0,0.0,79.0,0.0,24.0,23.0,168.0,23.0,0.20199999999999999,0.222,0.248,0.47,,
